Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Beveridge Island,VIC,153,10.18,4,0.392927,-35.25,143.55,5.01E-05,5.77587,0.407489,0.291087,149.978,6.58015,2.080873,0.196394,619.6784,0.732057
"Bunguluke Wetlands, Tyrrell Creek& Lalbert Creek Floodplains",VIC,154,5.3,299,56.41509,-36.0667,143.3667,1.10E-05,2.95482,0.408373,7.10873,76.4185,0.925274,2.008734,0.210469,619.2481,0.641053
Hattah Lakes,VIC,155,10.18,334,32.80943,-34.7,142.35,3.53E-06,10.28364,0.278691,0.06028,1.00E+31,1.00E+31,1.954333,0.195223,585.0745,0.62247
Heards Lake,VIC,156,1.35,5,3.703704,-36.8167,141.8167,7.82E-05,20.0966,0.355984,0.621862,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Heywoods Lake,VIC,157,2.28,6,2.631579,-34.7833,143.2,1.50E-06,8.11579,0.302411,0.00108,1.00E+31,1.00E+31,1.929501,0.191669,594.0272,0.623887
Kings Billabong Wetlands,VIC,158,5.02,148,29.48207,-34.2378,142.2257,8.85E-06,9.97148,0.522695,292.755,283.194,0.037322,1.740233,0.219404,843.1075,0.606561
Lake Albacutya,VIC,159,57,235,4.122807,-35.75,141.9667,2.07E-14,6.62893,0.478717,6.16525,1.00E+31,1.00E+31,1.784579,0.168918,562.0888,0.527819
Lake Hindmarsh,VIC,160,156,340,2.179487,-36.05,141.9,-3.39E-10,3.50063,0.633218,8.01406,1.00E+31,1.00E+31,1.467161,0.148076,405.4209,0.463381
Lake Lalbert,VIC,161,5,135,27,-35.6667,143.3333,-3.29E-12,3.3072,0.343548,2.64E-06,1.00E+31,1.00E+31,2.218701,0.212032,619.7933,0.648625
Lake Ranfurly,VIC,162,2.65,108,40.75472,-34.1833,142.1,7.14E-06,11.59865,0.468789,292.042,277.019,0.051582,1.669881,0.211077,805.4991,0.465418
Lake Tyrrell,VIC,163,208.6,101,0.48418,-35.35,142.8167,4.35E-05,9.75604,0.247478,0.170704,1.00E+31,1.00E+31,2.163001,0.210243,527.64,0.649068
Lake Wallawalla,VIC,164,8.28,178,21.49758,-34.1833,141.1833,8.10E-07,9.81878,0.229784,0.073398,1.00E+31,1.00E+31,1.865869,0.217323,673.5556,0.627218
Lindsay Island,VIC,165,150,375,2.5,-34.1167,141.15,5.54E-07,3.90908,0.217324,0.158775,1.00E+31,1.00E+31,1.402444,0.234087,716.5771,0.500453
Mitre Lak,VIC,166,7.84,111,14.15816,-36.7,141.8167,-2.90E-08,13.4454,0.447968,0.766015,225.289,2.08663,1.00E+31,1.00E+31,1.00E+31,1.00E+31
"Natimuk Lake, Natimuk Creek & Lake Wyn Wyn",VIC,167,11.7,168,14.35897,-36.7,141.9333,1.88E-10,8.41297,0.450921,4.363412,216.606,1.462781,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Pink Lake (Lochiel),VIC,168,1.06,2,1.886792,-36.4,141.95,2.73E-12,5.82899,0.398989,8.79867,126.41,0.529748,1.971455,0.159,541.6595,0.604223
Pink Lakes,VIC,169,3.93,67,17.04835,-35.0333,141.7,3.91E-06,9.87893,0.250247,0.156203,1.00E+31,1.00E+31,1.802928,0.186517,513.3202,0.576503
Raak Plain,VIC,170,5.5,12,2.181818,-34.65,142.0833,6.30E-07,2.43247,0.224647,0.183081,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Saint Marys Lake,VIC,171,1.13,29,25.66372,-36.7667,141.75,7.82E-05,38.1912,0.355984,0.621862,1.00E+31,1.00E+31,1.59523,0.124761,380.1874,0.516323
Wallpolla Island,VIC,172,92,413,4.48913,-34.1333,141.7167,1.86E-09,3.1339,0.582572,798.288,337.757,0.014448,1.768939,0.21936,751.2686,0.584721
White Lake,VIC,173,6.2,106,17.09677,-37.0667,141.7333,0.000242,19.8009,0.456311,0.526505,225.942,1.5634,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lindsay—Werrikoo Wetlands,VIC,174,17.85,47,2.633053,-37.8,141.2,0.000331,16.16535,0.651765,2.498095,217.638,2.33929,1.01667,0.087857,220.2535,0.364405
Mundi—Selkirk Wetlands,VIC,175,20.23,210,10.38062,-37.6667,141.3333,0.000119,15.2937,0.636878,1.97302,217.486,4.49595,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Ryans Lagoon,VIC,176,0.6,72,120,-36.1,146.9667,5.79E-06,18.1949,0.787316,48.7506,39.0142,0.507024,1.69761,0.106249,284.2033,0.554299
Barmah—Millewa Forest,VIC,177,295,618,2.094915,-35.8167,145.5,4.11E-05,5.785895,0.449258,83.72265,86.4113,0.46539,2.042915,0.1987,565.5366,0.66075
Black Swam,VIC,178,1.76,59,33.52273,-36.1667,146.3167,1.61E-06,4.34727,0.614912,32.1776,15.8193,0.757743,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Broken Creek,VIC,179,25,287,11.48,-36.4833,145.9333,2.97E-05,10.19123,0.435114,42.63458,136.189,0.084602,1.717523,0.146497,404.0104,0.59039
Cemetery Swamp,VIC,180,0.89,135,151.6854,-35.7,143.9167,5.72E-05,4.19439,0.387195,13.1847,56.5853,0.476083,1.00E+31,1.00E+31,1.00E+31,1.00E+31
First Marsh (The Marsh),VIC,181,7.8,24,3.076923,-35.65,143.7333,1.48E-06,4.89548,0.336264,0.000911,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Fosters Swamp,VIC,182,2.19,26,11.87215,-35.7333,143.95,5.72E-05,4.19439,0.387195,13.1847,56.5853,0.476083,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Gunbower Island,VIC,183,195,298,1.528205,-36,144.5167,3.87E-05,2.45975,0.353467,0.652832,152.392,3.40457,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Kanyapella Basin,VIC,184,25.81,194,7.516466,-36.15,144.9,1.07E-05,3.70478,0.413729,183.736,34.4168,0.233129,2.328898,0.206907,498.1764,0.912669
Kow Swamp,VIC,185,27.24,21,0.770925,-35.95,144.2833,2.29E-05,3.18227,0.319092,0.976974,163.487,1.78997,1.920965,0.161656,496.0638,0.595647
Lake Bael Bael,VIC,186,6.48,40,6.17284,-35.6833,143.7167,2.38E-19,5.45678,0.363349,6.9556,94.8339,0.611077,2.051624,0.182295,587.2405,0.598718
Lake Charm,VIC,187,5.2,26,5,-35.6,143.8167,1.00E+31,6.22056,0.37658,6.87567,140.409,0.563485,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Cullen,VIC,188,6.32,21,3.322785,-35.6333,143.7667,1.38E-05,6.22056,0.37658,6.87567,140.409,0.563485,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Kelly & Stevensons Swamp,VIC,189,3.2,1,0.3125,-35.5333,143.8167,1.65E-05,6.66139,0.359423,0.013026,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
"Little Lake Charm, Kangaroo Lake & Racecourse Lake",VIC,190,13.32,11,0.825826,-35.5833,143.7667,1.38E-05,4.438545,0.37658,6.87567,140.409,0.563485,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Broken River,VIC,191,12.68,13,1.025237,-36.4833,145.9333,2.39E-13,14.1619,0.499553,0.721857,1.00E+31,1.00E+31,1.717523,0.146497,404.0104,0.59039
Lower Goulburn River Floodplain,VIC,192,130,279,2.146154,-36.7167,145.1667,8.73E-05,5.064005,0.488529,13.48514,6.55117,0.013671,1.441791,0.090778,309.2539,0.475591
Muckatah Depression,VIC,193,29.09,13,0.446889,-36.0667,146.1167,0.000103,5.0035,0.64698,86.0681,1.00E+31,1.00E+31,2.165257,0.224028,519.2835,0.769655
Second Marsh (Middle Marsh),VIC,194,2.33,39,16.7382,-35.7,143.6167,2.40E-19,4.71132,0.335408,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tang Tang Swamp,VIC,195,1.03,33,32.03883,-36.35,144.2833,3.41E-06,1.90693,0.401039,0.31507,1.00E+31,1.00E+31,2.482484,0.265268,532.1878,1.065453
Third Marsh (Top Marsh),VIC,196,9.46,142,15.01057,-35.6,143.7167,1.48E-06,4.89548,0.336264,0.000911,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
"Third, Middle and Reedy Lakes",VIC,197,5.98,33,5.518395,-35.6375,143.8649,4.39E-05,4.07895,0.358196,0.153951,254.244,4.27069,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Town Swamp,VIC,198,0.8,38,47.5,-35.7167,143.9,4.05E-05,5.47269,0.31583,0.131712,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tragowel Swamp (McPhails Swamp),VIC,199,2.62,118,45.03817,-35.8,143.9333,0.000111,3.80317,0.38934,0.330018,111.323,2.16165,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wallenjoe Wetlands,VIC,200,3.03,207,68.31683,-36.5,144.8833,0.000128,3.09454,0.406833,0.478438,1.00E+31,1.00E+31,1.742139,0.145085,400.317,0.682808
Woolshed Swamp,VIC,201,3.53,106,30.02833,-36.1667,143.7167,9.46E-05,5.39115,0.440198,0.075474,1.00E+31,1.00E+31,2.044157,0.16221,452.1334,0.623822
Bald Hills State Wildlife Reserve,VIC,202,0.01,3,300,-38.7333,145.9333,1.87E-08,8.15322,0.88047,1.65426,1.00E+31,1.00E+31,1.417942,0.196979,301.9804,1.131216
Billabong Reserve,VIC,203,0.23,33,143.4783,-37.9,147.3167,1.29E-05,28.214,0.723451,0.01332,1.00E+31,1.00E+31,0.976318,0.097128,301.6325,0.483825
Deep Water Morass,VIC,204,0.3,2,6.666667,-37.8333,147.4,0.000422,34.1276,0.485069,0.519876,1.00E+31,1.00E+31,1.18841,0.074671,186.9523,0.497168
Edithvale—Seaford Wetlands,VIC,205,2.15,61,28.37209,-38.0333,145.1167,0.000216,8.551115,0.467183,8.85507,287.742,4.79368,1.881046,0.208077,337.348,1.017463
Lake Connewarre State Wildlife Reserve,VIC,206,31,319,10.29032,-38.2167,144.45,0.000137,16.5252,0.329757,23.5768,218.432,2.75227,2.031642,0.244868,336.051,1.214394
Lake Wellington Wetlands,VIC,207,180,310,1.722222,-38.0833,147.3167,1.38E-16,7.17951,1.04931,38.6743,22.8806,0.048646,1.076539,0.087646,235.2637,0.496063
Lower Snowy River Wetlands System,VIC,208,20,409,20.45,-37.7357,148.5635,0.000218,23.3948,0.806309,0.478717,1.00E+31,1.00E+31,0.720995,0.069765,144.4384,0.284761
Central Highlands Peatlands,VIC,209,0.33,57,172.7273,-37.5856,146.0214,0.000458,144.037,1.08076,0.358482,1.00E+31,1.00E+31,0.431002,0.031069,92.94567,0.155678
Lake Tali Karng,VIC,210,0.16,3,18.75,-37.55,146.8,6.06E-12,320.195,0.763008,0.002347,1.00E+31,1.00E+31,0.93565,0.099505,334.221,0.338958
Nuniong Plateau Peatlands,VIC,211,0.1,35,350,-37.15,147.9333,-1.97E-11,186.691,0.69133,0.000376,1.00E+31,1.00E+31,0.810821,0.073801,216.0078,0.297848
Tea Tree Swamp (Delegate River),VIC,212,0.52,107,205.7692,-37.25,148.8333,6.09E-10,155.765,0.887708,0.014236,1.00E+31,1.00E+31,0.670875,0.071698,218.6824,0.281966
Creswick Swamp,VIC,213,0.16,2,12.5,-36.6167,142.9,2.44E-06,3.27878,0.465175,3.1912,1.00E+31,1.00E+31,1.792375,0.151326,373.7298,0.559823
Lake Muirhead,VIC,214,3.3,56,16.9697,-37.4833,142.6,0.000401,26.0664,0.446065,0.370148,1.00E+31,1.00E+31,1.149557,0.085668,265.9969,0.299729
Mount William Swamp,VIC,215,6.35,7,1.102362,-37.45,142.6667,3.24E-07,14.2078,0.611505,0.387517,1.00E+31,1.00E+31,1.647105,0.145956,340.1341,0.633018
Cobden—Terang Volcanic Craters,VIC,216,6.13,19,3.099511,-38.35,143,9.03E-07,76.0527,0.759893,0.069476,1.00E+31,1.00E+31,1.386071,0.130814,238.5742,0.545759
Cundare Pool/Lake Martin,VIC,217,37.3,107,2.868633,-38.0833,143.6,0.000907,5.74504,0.343214,1.42589,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Kooraweera Lakes,VIC,218,4.27,22,5.152225,-38.0667,143.2833,6.02E-06,7.55826,0.765396,0.013407,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Beeac,VIC,219,6.62,3,0.453172,-38.2,143.6167,0.000956,6.45126,0.326808,0.73771,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Bookaar,VIC,220,5,83,16.6,-38.1333,143.1167,2.11E-06,8.07075,0.769371,0.001535,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Colongulac,VIC,221,14,20,1.428571,-38.1667,143.1667,2.64E-06,15.4689,0.769344,0.001976,1.00E+31,1.00E+31,1.319649,0.111051,348.234,0.47374
Lake Corangamite,VIC,222,233,162,0.695279,-38.1833,143.4167,3.07E-05,6.65308,0.796084,1.60629,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Cundare,VIC,223,3.95,51,12.91139,-38.15,143.6167,0.000907,5.46497,0.343214,1.42589,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Gnarpurt,VIC,224,23.5,7,0.297872,-38.05,143.3833,5.12E-06,8.58146,0.767276,0.026988,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Linlithgow Wetlands,VIC,225,14.32,124,8.659218,-37.7667,142.1833,0.000783,5.58077,0.364569,0.684255,71.091,12.0418,1.79008,0.166884,363.1982,0.628964
Lake Milangil,VIC,226,1.25,47,37.6,-38.1,143.2167,5.89E-06,8.80355,0.767407,0.004409,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Murdeduke,VIC,227,15.5,14,0.903226,-38.1667,143.9,0.000638,12.5784,0.42426,6.52665,99.1578,4.90616,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Terangpom,VIC,228,2.08,86,41.34615,-38.1333,143.3167,6.24E-06,7.2213,0.767168,0.00476,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lower Lough Calvert & Lake Thurrumbong,VIC,229,8.78,25,2.84738,-38.1983,143.6491,0.000478,32.64078,0.499332,0.368855,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Middle Lough Calvert,VIC,230,5.78,16,2.768166,-38.1667,143.6833,0.000864,6.5442,0.357455,1.15378,1.00E+31,1.00E+31,1.667592,0.116363,292.8755,0.689979
Point Cook & Laverton Saltworks,VIC,231,9,128,14.22222,-37.9,144.7833,0.000228,4.70996,0.334453,0.839211,264.996,6.35997,2.158327,0.285205,528.0739,1.188425
Red Rock Lakes & The Basins,VIC,232,2.23,2,0.896861,-38.3333,143.45,8.94E-07,5.34286,0.771442,1.60629,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Tower Hill,VIC,233,3.11,184,59.16399,-38.3167,142.3667,0.00078,27.8126,0.401856,0.760084,1.00E+31,1.00E+31,1.201855,0.129818,298.5456,0.553491
Upper Lough Calvert,VIC,234,8.24,22,2.669903,-38.1167,143.6833,0.000804,5.11106,0.384152,2.29926,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Bitter Swamp,VIC,235,0.32,3,9.375,-37.0833,141.75,0.000336,19.8009,0.44204,0.331696,1.00E+31,1.00E+31,1.124954,0.098226,288.6939,0.425875
Cardross Lake,VIC,236,2.96,100,33.78378,-34.3167,142.1,3.59E-06,18.2684,0.315629,0.000794,314.439,3.91687,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Buloke Wetlands,VIC,237,82.7,209,2.527207,-36.2667,142.9667,2.64E-05,3.99669,0.26546,3.37086,1.00E+31,1.00E+31,1.928158,0.169562,495.7018,0.571822
Boiler Swamp System,VIC,238,1.93,3,1.554404,-37.3333,140.9833,0.003775,8.17639,1.4269,24.2902,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Dergholm (Youpayang) Wetlands,VIC,239,2.28,82,35.96491,-37.35,141.3,2.77E-08,73.4333,0.631933,5.40845,232.094,2.73028,1.081608,0.087267,274.7003,0.398984
Avoca Floodway (Tutchewop Plains),VIC,240,4.84,30,6.198347,-35.5167,143.7167,5.90E-05,4.50397,0.404967,0.048057,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Buninjon,VIC,241,2.87,18,6.271777,-37.4833,142.7833,9.57E-08,22.2281,0.614202,1.18504,1.00E+31,1.00E+31,1.497879,0.125368,273.9367,0.46277
Lake Wendouree,VIC,242,2.24,65,29.01786,-37.55,143.7167,1.15E-06,12.261,0.637565,0.011156,1.00E+31,1.00E+31,1.907442,0.193979,391.5967,0.823512
Merin Merin Swamp,VIC,243,2.15,33,15.34884,-37.2167,143.7833,1.77E-05,37.5298,0.584602,0.026823,1.00E+31,1.00E+31,1.751213,0.137046,404.166,0.619863
Woorndoo—Hopkins Wetlands,VIC,244,5.84,1,0.171233,-37.8167,142.6833,1.07E-05,23.9515,0.615348,0.008097,1.00E+31,1.00E+31,1.61711,0.163994,343.359,0.595302
Lake Condah,VIC,245,0.82,160,195.122,-38.0667,141.8333,2.48E-06,26.6119,0.713978,0.07392,212.854,20.6571,1.129491,0.119608,279.4932,0.437281
Nerrin Nerrin Wetland,VIC,246,5.26,79,15.01901,-37.7333,143.0167,-3.71E-12,10.4637,0.605947,0.000303,1.00E+31,1.00E+31,1.564103,0.159895,352.592,0.562152
Widderin Swamps,VIC,247,3.59,2,0.557103,-38.7333,143.3667,0.000308,158.343,0.891277,0.30526,84.1816,0.097507,1.020177,0.083074,83.91057,0.385815
Mitta Mitta River,VIC,248,24,172,7.166667,-36.8333,147.4167,0.001311,163.585,0.763,3.21645,1.00E+31,1.00E+31,0.842815,0.06817,167.1018,0.253987
Ovens River,VIC,249,37.5,281,7.493333,-36.25,146.2667,5.64E-05,4.91273,0.457908,32.2719,41.6548,0.81125,1.919168,0.130413,361.181,0.7393
Howqua River,VIC,250,15.2,210,13.81579,-37.1667,146.65,0.000408,328.73,0.820297,0.451756,25.5969,0,0.583934,0.06828,103.308,0.176697
Big River,VIC,251,14.65,185,12.62799,-37.5667,146.0167,0.000334,108.655,1.1014,0.918268,1.00E+31,1.00E+31,1.082736,0.061273,202.0904,0.365948
Wimmera River,VIC,252,560.2,808,1.442342,-36.65,141.9833,-4.60E-08,7.95567,0.454962,8.01508,236.934,0.829914,1.940792,0.158789,454.2891,0.781287
Genoa River,VIC,253,10.8,303,28.05556,-37.2667,149.35,3.17E-07,121.453,0.829029,2.65402,1.00E+31,1.00E+31,0.687683,0.073127,208.0999,0.266779
"Bemm, Goolengook, Arte and Errinundra Rivers",VIC,254,59.2,424,7.162162,-37.3167,148.9167,8.04E-09,244.914,0.887404,0.014464,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Snowy River,VIC,255,466.9,1453,3.112015,-36.8833,148.4167,0.000622,139.053,0.600457,20.686,134.48,1.22644,0.909738,0.070222,278.4742,0.327539
Suggan Buggan and Berrima,VIC,256,18.4,174,9.456522,-36.8167,148.2333,4.30E-07,108.434,0.865418,0.000374,1.00E+31,1.00E+31,0.638452,0.067994,128.6206,0.181611
Upper Buchan River,VIC,257,17.8,266,14.94382,-36.8833,148.15,0.000708,137.138,0.61374,0.553022,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Wonnangatta River,VIC,258,41,329,8.02439,-37.1333,146.6333,0.000153,220.354,0.910749,0.252284,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Benedore River,VIC,259,33.6,477,14.19643,-37.6167,149.5833,0.000854,54.83,0.601448,0.709933,1.00E+31,1.00E+31,0.695395,0.087493,108.0687,0.241495
Thurra River,VIC,260,29.2,461,15.78767,-37.3667,149.35,0.000745,128.067,0.51968,1.46692,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Yarra River,VIC,261,10.65,929,87.23005,-37.75,145.7167,0.000191,97.16495,0.91916,5.394989,2766.59,1.65559,1.217876,0.08676,211.1763,0.525068
Lerderderg River,VIC,262,54.9,601,10.94718,-37.45,144.2333,2.16E-05,70.4658,0.729966,0.048207,1.00E+31,1.00E+31,1.496054,0.120875,335.3858,0.597872
Aire River,VIC,263,8.2,140,17.07317,-38.6667,143.55,0.000434,114.031,0.88225,1.63975,90.0737,2.20081,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Glenelg River,VIC,264,30.2,378,12.51656,-37.9333,141.2833,3.81E-05,34.0726,0.726446,17.6621,214.75,3.28552,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Coyrecup Lake,WA,265,5,4,0.8,-33.7167,117.8333,4.43E-05,8.69828,0.286262,0.777193,1.00E+31,1.00E+31,1.844564,0.178333,416.1934,0.621388
Dumbleyung Lake,WA,266,55.61,52,0.935084,-33.3333,117.6667,1.23E-06,33.6768,0.290203,3.50471,1.00E+31,1.00E+31,1.886011,0.248125,461.7497,0.678528
Toolibin Lake,WA,267,4.37,51,11.67048,-32.9167,117.6,-5.96E-11,24.293,0.353959,5.19E-09,1.00E+31,1.00E+31,1.771361,0.159335,408.027,0.587283
Yealering Lakes System,WA,268,7.75,4,0.516129,-32.5333,117.6,-4.90E-11,38.5984,0.354055,6.75E-05,1.00E+31,1.00E+31,2.070717,0.231413,616.6145,0.720351
Yorkrakine Rock Pools,WA,269,0.01,82,8200,-31.4333,117.5167,4.45E-11,18.9176,0.329007,0.000774,1.00E+31,1.00E+31,1.973106,0.230633,682.4955,0.708178
Cape Range Subterranean Waterways,WA,270,1750,44,0.025143,-21.8333,113.6667,3.48E-05,1.728515,0.22512,0.061941,1.00E+31,1.00E+31,1.30761,0.217011,556.4647,0.422544
Lake MacLeod,WA,271,1500,88,0.058667,-23.6,113.5,4.44E-06,30.78295,0.200419,0.066658,1.00E+31,1.00E+31,1.329117,0.204204,569.4312,0.41202
McNeill Claypan System,WA,272,25,37,1.48,-24.9,113.75,-4.73E-06,4.87566,0.221288,10.9809,1.00E+31,1.00E+31,1.23571,0.185546,532.3644,0.389485
Windjana Gorge,WA,273,0.2,26,130,-17.4167,124.95,0.000112,9.00792,0.88833,0.799215,119.935,0.012334,1.235133,0.183843,280.517,0.296251
Rowles Lagoon System,WA,274,5.5,17,3.090909,-30.4,120.8167,1.19E-05,62.7872,0.283784,0.25334,1.00E+31,1.00E+31,1.32603,0.239316,674.1488,0.466514
Bunda-Bunda Mound Springs,WA,275,0.22,17,77.27273,-17.15,122.3167,0.000634,7.93347,0.648334,0.693583,1.00E+31,1.00E+31,1.043185,0.155983,191.9441,0.282622
Eighty Mile Beach System,WA,276,400,24,0.06,-19.05,119.7667,5.55E-05,4.095795,0.511051,0.107962,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Geikie Gorge,WA,277,1.3,14,10.76923,-18.0833,125.7167,7.22E-06,20.5076,0.717529,21.5897,135.743,0.005946,1.268837,0.202353,339.4344,0.272306
Roebuck Plains System,WA,278,480,44,0.091667,-17.8333,122.35,0.000112,18.72385,0.735849,1.08175,138.351,0.004221,1.099255,0.154391,225.8172,0.28197
Willie Creek Wetlands,WA,279,0.2,60,300,-17.7667,122.2667,0.000148,14.6672,0.760812,0.239175,1.00E+31,1.00E+31,0.953591,0.127938,227.7241,0.360185
Balicup Lake System,WA,280,14,37,2.642857,-34.2167,117.7667,4.67E-05,9.9275,0.343911,0.3087,1.00E+31,1.00E+31,1.42535,0.114368,323.5587,0.520846
Culham Inlet System,WA,281,113.49,71,0.625606,-33.9,120.0667,1.74E-05,48.6028,0.431444,5.07559,1.66143,0.650561,1.367626,0.163637,475.4796,0.46754
Fitzgerald Inlet System,WA,282,12,76,6.333333,-33.8167,119.3,3.43E-05,36.0783,0.387283,1.03095,79.0973,0.45171,1.251265,0.149846,419.3864,0.515887
Lake Gore System,WA,283,15,8,0.533333,-33.75,121.4667,0.00011,19.5127,0.439233,3.37813,1.67294,1.11682,1.373052,0.209721,494.0566,0.48269
Lake Warden System,WA,284,12,26,2.166667,-33.7833,121.85,8.82E-05,30.65015,0.523927,0.871404,1.00E+31,1.00E+31,1.316542,0.213812,634.2039,0.431427
Mortijinup Lake System,WA,285,7.5,28,3.733333,-33.7833,121.5833,0.000203,33.63475,0.413012,0.425369,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Pink Lake,WA,286,10.61,37,3.487276,-33.85,121.8333,0.000118,21.7882,0.559214,0.068712,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Yellilup Yate Swamp System,WA,287,15,27,1.8,-34.3,118.85,2.88E-05,53.0142,0.443923,0.094154,1.00E+31,1.00E+31,1.250932,0.096294,280.8728,0.432962
Kookhabinna Gorge,WA,288,1.25,1,0.8,-23.25,116.0167,2.83E-05,58.45136,0.288602,0.267465,1.00E+31,1.00E+31,1.380848,0.222983,666.9376,0.401302
Lake Carnegie System,WA,289,1531,42,0.027433,-25.95,122.0833,3.03E-07,20.7354,0.283276,0.050426,1.00E+31,1.00E+31,1.349018,0.293112,719.0823,0.464696
Hutt Lagoon System,WA,290,30,67,2.233333,-28.0333,114.1667,4.42E-05,39.91895,0.310819,0.839403,1.00E+31,1.00E+31,1.506924,0.120937,388.7331,0.544698
Lake Logue—Indoon System,WA,291,5.29,42,7.939509,-29.8667,115.1333,9.33E-05,67.6272,0.415794,0.925788,1.00E+31,1.00E+31,1.639107,0.140037,486.7585,0.548978
Murchison River (Lower Reaches),WA,292,6.25,137,21.92,-27.7167,114.1667,1.80E-05,48.26445,0.288696,5.857756,1.00E+31,1.00E+31,1.169361,0.130577,443.9012,0.385913
Lake Gruszka,WA,293,5,2,0.4,-25.3333,125.5667,1.85E-06,4.10323,0.25774,0.148852,1.00E+31,1.00E+31,1.286893,0.217488,526.3162,0.378701
Dragon Tree Soak,WA,294,0.05,2,40,-19.6667,123.35,3.85E-06,17.0774,0.626105,0.003129,1.00E+31,1.00E+31,1.140965,0.135158,189.2476,0.246624
Lake Dora (Rudall River) System,WA,295,326,8,0.02454,-21.95,122.8,1.31E-06,13.2527,0.455803,0.000684,1.00E+31,1.00E+31,1.336184,0.217067,465.8532,0.333447
Mandora Salt Marsh,WA,296,800,3,0.00375,-19.6667,121.1167,4.75E-05,4.864885,0.527184,0.827333,1.00E+31,1.00E+31,1.194457,0.16529,340.2702,0.30077
Yeo Lake/Lake Throssell,WA,297,710,66,0.092958,-27.35,123.8833,2.48E-05,62.58785,0.248218,0.10641,1.00E+31,1.00E+31,1.318701,0.215106,684.3636,0.400823
Byenup Lagoon System,WA,298,50,516,10.32,-34.3167,116.6667,0.001041,17.43515,0.445664,9.9918,35.2487,0.955977,1.159995,0.078593,228.1981,0.401941
Chittering—Needonga Lakes,WA,299,2.48,5,2.016129,-31.4333,116.1,0.000369,80.137,0.401449,3.38679,1.00E+31,1.00E+31,1.695339,0.151727,450.6724,0.554173
Lake Muir,WA,300,46,179,3.891304,-34.4833,116.6667,0.00024,7.0922,0.557189,0.267666,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
