wetland_name,wetland_ID,dataset,area_km2,species_richness,species_normalized,lat,lon,sat_area_frac
Perth Airport Woodland Swamps,331,AUS,0.23,12,52.17391,-31.9167,115.8333,0.597483
Rottnest Island Lakes,332,AUS,1.8,29,16.11111,-32,115.5167,
Spectacles Swamp,333,AUS,1.42,16,11.26761,-32.2167,115.8333,0.406631
Thomsons Lake,334,AUS,2.13,32,15.02347,-32.15,115.8333,0.410951
Vasse—Wonnerup Wetland System,335,AUS,10,67,6.7,-33.5833,115.35,
Wannamal Lake System,336,AUS,4.7,73,15.53191,-31.0667,116.0167,0.225677
Yalgorup Lakes System,337,AUS,56,167,2.982143,-32.7167,115.6167,0.53615
Lake Gregory System,338,AUS,387,54,0.139535,-20.05,127.1667,0.01738
Lake Kununurra,339,AUS,25,205,8.2,-15.7833,128.6833,0.409117
Parry Floodplain,340,AUS,90,148,1.644444,-15.4667,128.2,0.088614
Blackwood River (Lower Reaches) and Tributaries System,341,AUS,6.2,40,6.451613,-34.0667,115.1167,0.426196
Broke Inlet System,342,AUS,48.65,73,1.500514,-34.5,116.35,0.362947
Doggerup Creek System,343,AUS,25.24,488,19.33439,-34.7,115.9667,0.340723
Gingilup—Jasper Wetland System,344,AUS,16,38,2.375,-34.3333,115.4667,0.56553
Maringup Lake,345,AUS,2.86,5,1.748252,-34.8333,116.2,0.316596
Mt. Soho Swamps,346,AUS,0.5,6,12,-34.7833,116.95,0.358276
Owingup Swamp System,347,AUS,10.5,26,2.47619,-34.9667,117.0333,0.567355
Thundelarra Lignum Swamp,348,AUS,1.35,7,5.185185,-28.95,117.1833,0.478701
Gladstone Lake,349,AUS,1,6,6,-17.1833,126.2333,0.131247
Lake Bryde—East Lake Bryde,350,AUS,1.35,2,1.481481,-33.35,118.8167,0.399054
Mt. Bruce Coolibah—Lignum flats,351,AUS,0.82,7,8.536585,-22.6333,118.2167,0.458071
"Palmer Barracks, Guildford C",352,AUS,0.05,59,1180,-32.5167,116.6333,0.204429
Bowling Green Bay,353,AUS,325.41,371,1.1401,-19.4619,147.1478,0.551884
Burdekin - Townsville Coastal Aggregation,354,AUS,1491.97,497,0.333117,-19.4619,147.1478,0.551884
Lake Elphinstone,355,AUS,3,23,7.666667,-21.5336,148.2431,0.072297
Boggomoss Springs,356,AUS,4,29,7.25,-25.4167,150.1667,0.146686
Fitzroy River Floodplain,357,AUS,195,891,4.569231,-23.2928,150.4422,0.119455
Hedlow Wetlands,358,AUS,111.01,113,1.017926,-23.0506,150.5539,0.624865
Lake Broadwater,359,AUS,2.15,14,6.511628,-27.3564,151.1011,0.635055
Lake Nuga Nuga,360,AUS,20.69,56,2.706622,-25.0094,148.6903,0.633881
Palm Tree and Robinson Creeks,361,AUS,502.74,240,0.477384,-25.3947,149.7894,0.290441
The Gums Lagoon,362,AUS,3.43,149,43.44023,-27.335,150.1964,0.60874
Birdsville - Durrie Waterholes Aggregation,363,AUS,326.56,23,0.070431,-25.6331,140,0.008756
Bulloo Lake,364,AUS,832.27,14,0.016821,-28.8619,142.3253,0.011361
Cooper Creek Overflow Swamps - Windorah,365,AUS,1248.53,115,0.092108,-25.5831,142.4167,0.009535
Cooper Creek Swamps - Nappa Merrie,366,AUS,1063.11,46,0.043269,-27.6,141.5831,0.122802
Cooper Creek - Wilson River Junction,367,AUS,639.25,15,0.023465,-27.8331,142,0.311757
Diamantina Lakes Area,368,AUS,3.93,19,4.834606,-23.6883,141.1108,0.019251
Diamantina Overflow Swamp - Durrie Station,369,AUS,291.96,5,0.017126,-25.6331,140.3997,0.01398
Georgina River - King Creek Floodout,370,AUS,1383.47,18,0.013011,-24.25,139.6667,0.056944
Lake Bullawarra,371,AUS,12.87,14,1.087801,-27.9039,143.5908,0.093956
Lake Constance,372,AUS,18.41,7,0.380228,-23.8647,140.99,0.019753
Lake Cuddapan,373,AUS,17.04,4,0.234742,-25.7256,141.445,0.00753
Lake Mipia Area,374,AUS,696.91,115,0.165014,-24.8744,139.605,0.114323
Lake Phillipi,375,AUS,160.86,9,0.055949,-24.3556,138.9864,0.009992
Lake Torquinie Area,376,AUS,152.42,14,0.091851,-24.5,138.7167,0.006907
Lake Yamma Yamma,377,AUS,865.48,14,0.016176,-26.3331,141.4331,0.585482
Moonda Lake - Shallow Lake Aggregation,378,AUS,147.38,10,0.067852,-25.7944,140.2889,0.010565
Mulligan River - Wheeler Creek Junction,379,AUS,170.14,198,1.163748,-23.9144,138.6333,0.00749
Muncoonie Lakes Area,380,AUS,887.67,96,0.108148,-25,138.6778,0.01357
Nooyeah Downs Swamps Aggregation,381,AUS,62.41,2,0.032046,-28,143.5,0.015971
Toko Gorge and Waterhole,382,AUS,2.43,25,10.28807,-22.775,138.0261,0.343639
Corio Bay Wetlands,383,AUS,69.09,182,2.634245,-22.9586,150.7531,
Dismal Swamp—Water Park Creek,384,AUS,10,228,22.8,-22.7592,150.6811,0.4716
Eungella Dam,385,AUS,7.97,15,1.882058,-21.1689,148.4017,0.147731
Proserpine—Goorganga Plain,386,AUS,168.51,197,1.16907,-20.4961,148.6681,0.665456
Archer Bay Aggregation,387,AUS,299.11,270,0.902678,-13.3472,141.6886,0.377674
Archer River Aggregation,388,AUS,1497.61,283,0.188968,-13.5494,142.1719,0.251989
Cape Flattery Dune Lakes,389,AUS,440.34,329,0.74715,-14.9764,145.2092,0.575639
Cape Grenville Area,390,AUS,73.04,47,0.643483,-11.9817,143.1614,0.487974
Cape Melville—Bathurst Bay,391,AUS,54.8,140,2.554745,-14.3492,144.4456,0.185488
Harmer Creek - Shelburne Bay Aggregation,392,AUS,317.51,178,0.560612,-11.9789,143.0414,0.591249
Jardine River Wetlands Aggregation,393,AUS,817.4,331,0.404943,-11.0306,142.2358,0.501626
Marina Plains—Lakefield Aggregation,394,AUS,3923.33,886,0.225829,-14.8272,144.0761,0.181556
Newcastle Bay - Escape River Estuarine Complex,395,AUS,423.07,222,0.524736,-10.9192,142.5817,0.583063
Northern Holroyd Plain Aggregation,396,AUS,11143.24,306,0.027461,-14.4706,141.9117,0.264017
Olive River,397,AUS,176.09,227,1.289114,-12.1189,143.0356,0.678422
Orford Bay - Sharp Point Dunefield Aggregation,398,AUS,172.39,105,0.609084,-11.2017,142.7519,0.365462
Silver Plains - Nesbitt River Aggregation,399,AUS,448.34,531,1.184369,-13.7422,143.5089,0.310808
Skardon River - Cotterell River Aggregation,400,AUS,631.94,127,0.200968,-11.6217,142.0817,0.559274
Somerset Dunefield Aggregation,401,AUS,80.95,238,2.940086,-10.8392,142.4931,0.619772
The Jack Lakes Aggregation,402,AUS,350.54,155,0.442175,-14.8872,144.5025,0.270808
Violet Vale,403,AUS,18.96,32,1.687764,-14.7258,143.6081,0.197945
Aramac Springs,404,AUS,4,75,18.75,-22.7331,145.4331,0.053931
Cauckingburra Swamp,405,AUS,7.82,6,0.767263,-21.4819,145.8772,0.158973
Doongmabulla Springs,406,AUS,3.99,94,23.5589,-22.095,146.2431,0.261706
Lake Buchanan,407,AUS,232.01,66,0.28447,-21.6239,145.8717,0.380793
Lake Galilee,408,AUS,257.78,70,0.271549,-22.3325,145.8231,0.192542
Balonne River Floodplain,409,AUS,240,280,1.166667,-28.1989,148.5222,0.395268
Blencoe Falls—Blencoe Creek,410,AUS,0.87,25,28.73563,-18.2111,145.5367,0.505454
Great Basalt Wall,411,AUS,1002.53,380,0.379041,-19.9331,145.5922,0.068153
Herbert River Gorge,412,AUS,215.36,248,1.15156,-18.3189,145.6539,0.416012
Innot Hot Springs,413,AUS,0.78,8,10.25641,-17.6678,145.2383,0.243214
Lake Lucy Wetlands,414,AUS,10.78,7,0.649351,-18.5586,145.2458,0.110231
Laura Sandstone,415,AUS,10.9,6,0.550459,-15.7708,144.2528,0.161096
Minnamoolka Area,416,AUS,5.89,27,4.584041,-18.1994,145.1144,0.160714
Poison Lake,417,AUS,7.85,1,0.127389,-18.8417,145.0861,0.105714
Undara Lava Tubes,418,AUS,12.54,62,4.944179,-18.2489,144.5231,0.436396
Valley of Lagoons,419,AUS,36.45,109,2.990398,-18.6647,145.0742,0.117359
Wairuna Lake,420,AUS,1.52,9,5.921053,-18.4361,145.3825,0.16055
Walters Plains Lake,421,AUS,15.48,4,0.258398,-18.3539,145.2239,0.160134
Lawn Hill Gorge,422,AUS,11.33,216,19.06443,-18.7022,138.4817,0.151988
Bluebush Swamp,423,AUS,8.79,1,0.113766,-18.1597,138.9961,0.057567
Buffalo Lake Aggregation,424,AUS,19.09,2,0.104767,-17.8861,140.3047,0.09038
Dorunda Lakes Area,425,AUS,68.01,27,0.397,-16.5556,141.9028,0.138255
Lignum Swamp,426,AUS,2.82,6,2.12766,-20.1064,141.0556,0.301123
Marless Lagoon Aggregation,427,AUS,1670.09,122,0.07305,-17.5267,138.935,0.080567
Mitchell River Fan Aggregation,428,AUS,7148.86,449,0.062807,-15.7831,142.1781,0.193026
Musselbrook Creek Aggregation,429,AUS,451.57,76,0.168302,-18.2922,138.4911,0.059037
Nicholson Delta Aggregation,430,AUS,636.4,192,0.301697,-17.6714,139.4247,0.102798
Smithburne - Gilbert Fan Aggregation,431,AUS,2503.2,184,0.073506,-17.1103,141.4444,0.142166
Wentworth Aggregation,432,AUS,824.3,351,0.425816,-16.9647,138.1517,0.415112
Austral Limestone Aggregation,433,AUS,693.95,22,0.031703,-21.5022,138.5083,0.013864
Elizabeth Springs,434,AUS,4,49,12.25,-23.3331,140.5831,0.014972
Gregory River,435,AUS,266.39,188,0.705732,-18.8725,139.0739,0.044282
Thorntonia Aggregation,436,AUS,2988.88,354,0.118439,-19.0889,138.4597,0.510221
Lake Numalla Aggregation,437,AUS,107.24,18,0.167848,-28.7431,144.3606,0.371729
Lake Wyara,438,AUS,60.2,49,0.813953,-28.6994,144.2278,0.014282
Lakes Bindegolly and Toomaroo,439,AUS,96.77,170,1.756743,-28.0339,144.2078,0.300855
Carbrook Wetlands Aggregation,440,AUS,3.29,19,5.775076,-27.6811,153.2539,0.266779
Conondale Range Aggregation,441,AUS,19.83,555,27.9879,-26.7103,152.6067,0.229659
Fraser Island,442,AUS,1632.94,16,0.009798,-25.2369,153.1236,0.194396
Lake Weyba,443,AUS,28.6,575,20.1049,-26.4411,153.0781,0.246796
Moreton Bay,444,AUS,3001.77,1641,0.546677,-27.3336,153.2931,
Noosa River Wetlands,445,AUS,99.45,929,9.341378,-26.27,153.02,0.218616
Alexandra Palm Forest,446,AUS,1.46,17,11.64384,-17.2803,145.9464,0.583859
Birthday Creek,447,AUS,0.43,14,32.55814,-18.9883,146.1722,0.510254
Bambaroo Coastal Aggregation,448,AUS,53.6,6,0.11194,-18.8672,146.2542,
Bromfield Swamp,449,AUS,0.63,25,39.68254,-17.3789,145.5408,0.63784
Cowley Area,450,AUS,83.44,108,1.294343,-17.6553,146.1028,0.684886
Edmund Kennedy Wetlands,451,AUS,110.83,818,7.380673,-18.0758,146.0064,0.402056
Ella Bay Swamp,452,AUS,13.15,4,0.304183,-17.4208,146.0528,0.51245
Eubenangee—Alice River,453,AUS,19.91,131,6.579608,-17.4297,145.9769,0.596321
Herbert River Floodplain,454,AUS,444.96,317,0.712424,-18.7542,146.2411,0.584431
Hilda Creek Headwater,455,AUS,0.05,3,60,-16.1639,145.3678,0.523514
Innisfail Area,456,AUS,12.2,270,22.13115,-17.5706,146.0639,0.694221
Kurrimine Area,457,AUS,7.54,47,6.233422,-17.7878,146.0853,
Lake Barrine,458,AUS,0.99,109,110.101,-17.2508,145.6356,0.66838
Lake Eacham,459,AUS,0.43,65,151.1628,-17.2858,145.6247,0.66838
Licuala Palm Forest,460,AUS,2.32,69,29.74138,-17.9142,146.0708,0.635537
Lower Daintree River,461,AUS,52.76,298,5.648218,-16.2869,145.42,0.363403
Missionary Bay,462,AUS,11.29,139,12.31178,-18.2719,146.235,0.282121
Nandroya Falls,463,AUS,0.19,1,5.263158,-17.5958,145.7625,0.806259
Russell River,464,AUS,23.77,109,4.585612,-17.2322,145.9486,0.654146
Russell River Rapids,465,AUS,2.35,26,11.06383,-17.4572,145.8228,0.743444
Sunday Creek Broad-leaved Paperbark Site,466,AUS,0.39,12,30.76923,-18.5,146.1833,0.277207
Tully River - Murray River Floodplains,467,AUS,391.54,474,1.210604,-18.0192,145.8714,0.363984
West Mulgrave Falls,468,AUS,0.07,8,114.2857,-17.3611,145.7856,0.73681
Wyvuri Swamp,469,AUS,14.92,199,13.3378,-17.345,145.9986,0.55877
Yuccabine Creek,470,AUS,5.29,3,0.567108,-18.1928,145.7761,0.570749
Zillie Falls,471,AUS,0.16,29,181.25,-17.4767,145.6547,0.806379
Wyandra-Cunnamulla Claypans Aggregation,472,AUS,300,10,0.033333,-27.5,146.5,0.081182
Quilpie (Bulloo River Floodplain) Waterholes,473,AUS,0.3,3,10,-26.5,144.3,0.013548
Lake Dartmouth Area,474,AUS,100,20,0.2,-26.05,145.3333,0.366764
Warrego River Distributary System,475,AUS,120,42,0.35,-28.5667,145.7167,0.01764
Warrego River Waterholes (Charleville-Wyandra,476,AUS,5,4,0.8,-27,145.95,0.271402
"Myola-""Mulga Downs"" Salt Lake and Claypans",477,AUS,80,11,0.1375,-28.7667,146.95,0.323425
“Murrawondah” Lakes,478,AUS,25,11,0.44,-28.0833,146.0667,0.339314
"Paroo River Waterholes (""Caiwarro"" Area)",479,AUS,0.25,144,576,-28.7,144.7667,0.42789
Eulo Artesian Springs Supergroup,480,AUS,0.3,9,30,-28.2333,144.8,0.501645
Greenbank Army Training Area,481,AUS,46.65,273,5.85209,-27.6709,152.9742,0.107038
RAAF Townsville,482,AUS,3,442,147.3333,-19.2467,146.7573,
Laguna Toro,,BOL,0.025,15,600,-17.18333333,-66.38333333,0.563151
Huayalmarca Pond,,BOL,0.001,3,3000,-17.65,-66.68333333,0.587029
Laguna Saythu Khocha,,BOL,0.4,7,17.5,-17.38333333,-65.65,0.546644
Laguna Totora Khocha,,BOL,1.2,20,16.66666667,-17.45,-66.63333333,0.131843
Laguna Larati,,BOL,1.24,25,20.16129032,-17.35,-66.03333333,0.425979
Laguna Juntutuyo,,BOL,2.44,7,2.868852459,-17.56666667,-65.65,0.096648
Rï¿½o Candelar,,BOL,0.01,31,3100,-17.26666667,-65.93333333,0.558497
Chulichuncani Laguna,,BOL,0.2,15,75,-17.56666667,-65.36666667,0.058484
Laguna Alalay,,BOL,1.75,32,18.28571429,-17.4,-66.13333333,0.651346
Rï¿½o Mizque Wetla,,BOL,0.005,65,13000,-17.93333333,-65.3,0.191068
Rï¿½o Guadalquivir Wetla,,BOL,0.0005,49,98000,-21.53333333,-64.73333333,0.566508
Tiquipaya Irrigation Canal,,BOL,0.0002,16,80000,-17.35,-66.21666667,0.66111
Chimpa Huata Bog,,BOL,0.0005,23,46000,-17.2,-65.91666667,0.596804
Incachaca Pond,,BOL,0.01,26,2600,-17.25,-65.81666667,0.603527
Laguna Khonchu - East,,BOL,0.0007,12,17142.85714,-17.15,-65.93333333,0.65413
Laguna Khonchu - West,,BOL,0.0009,13,14444.44444,-17.15,-65.93333333,0.65413
Corani Pampa Marsh,,BOL,0.0002,26,130000,-17.1,-65.96666667,0.65413
Serranï¿½a de Siberia Mar,,BOL,0.0075,7,933.3333333,-17.85,-64.75,0.22942
Mariposa Wetland,,BOL,0.015,49,3266.666667,-17.01666667,-65.03333333,0.724237
Ivirgarsama Marsh,,BOL,0.007,46,6571.428571,-17.01666667,-64.83333333,0.748863
Senda F Wetland,,BOL,0.002,19,9500,-16.86666667,-65.13333333,0.747654
Villa Tunari Pond,,BOL,0.003,11,3666.666667,-17.01666667,-65.43333333,0.685666
Sinahota Pond,,BOL,0.0015,9,6000,-17,-65.3,0.712438
Valle de Sajta Curichi,,BOL,0.002,6,3000,-17.11666667,-64.71666667,0.711506
Puerto Villarroel Laguna,,BOL,0.3,6,20,-16.81666667,-64.8,0.708554
Bermudez Curichi,,BOL,0.15,70,466.6666667,-17.76666667,-63.26666667,0.679823
Viru Viru Wetland,,BOL,0.15,75,500,-17.66666667,-63.26666667,0.651161
Riberalta Ciï¿½na,,BOL,1.5,81,54,-11.03333333,-66.05,0.365873
Laguna Tumi Chuqua,,BOL,3,34,11.33333333,-11.13333333,-66.18333333,0.35757
Laguna Suarez,,BOL,5.6,97,17.32142857,-14.88333333,-64.86666667,0.610373
Concepciï¿½n Wetla,,BOL,0.1,70,700,-16.13333333,-62.01666667,0.617874
Huanchaca Arroyo,,BOL,0.0004,24,60000,-17.26666667,-65.93333333,0.558497
La Toledo Curichi,,BOL,0.06,42,700,-14.7,-61.13333333,0.564947
Bahï¿½a Tole,,BOL,1.5,72,48,-14.7,-61.11666667,0.564947
Rï¿½o Parag,,BOL,0.005,40,8000,-14.66666667,-61.16666667,0.645621
Cuatro Vientos Swamp,,BOL,6.9,50,7.246376812,-14.53333333,-61.18333333,0.401263
Lago Caimï¿,,BOL,5.75,80,13.91304348,-13.58333333,-60.91666667,0.421243
Laguna Uberaba,,BOL,300,66,0.22,-17.56666667,-57.73333333,0.649004
Laguna La Gaiba,,BOL,105,61,0.580952381,-17.8,-57.76666667,0.665183
Laguna Mandiorï,,BOL,250,63,0.252,-18.28333333,-57.56666667,0.66468
Laguna Cï¿½cer,,BOL,35,124,3.542857143,-18.95,-57.76666667,0.685508
Puesto Gonzalo,,BOL,0.02,38,1900,-17.66666667,-57.78333333,0.671998
Yolosa wetland,,BOL,0.0005,38,76000,-16.26777778,-67.73722222,0.657234
Laguna Yaguacua,,BOL,0.3,10,33.33333333,-20.43333333,-63.45,0.076769
Cristalmayu wetland,,BOL,0.005,12,2400,-17,-65.63333333,0.667013
GALATEIA LAKE,CY000FAM010,CYP,0.5850395,13,22.22072185,35.41612,34.05735,0.124565
OVGOROS RESERVOIR,CY000FAM012,CYP,0.0406936,5,122.8694438,35.37217,33.94346,0.069451
FLAMOUDI RESERVOIR,CY000FAM013,CYP,0.0816709,10,122.4426326,35.40615,33.84352,0.454542
PLATANI MARSH,CY000FAM016,CYP,0.0137275,3,218.5394282,35.32261,33.77268,0.069215
LEFKONOIKO RESERVOIR,CY000FAM017,CYP,0.1266625,12,94.73995855,35.2912,33.7216,0.076712
KNODARA RESERVOIR,CY000FAM019,CYP,0.0135935,5,367.8228565,35.29094,33.65639,0.093603
AGRICULTURAL POND AT KIADOS,CY000FAM020,CYP,0.0056661,2,352.9764741,35.2532,33.59404,0.093603
KORNOKIPOS RESERVOIR,CY000FAM021,CYP,0.0563214,4,71.02096184,35.2515,33.57853,0.116295
AMMOHOSTOS LAKES,CY000FAM025,CYP,2.2692819,9,3.966012332,35.13239,33.90656,0.068743
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.1",CY000FAM027,CYP,0.0416563,1,24.00597269,34.99673,34.04307,
"RECYCLED WATER TANKS, AGIA NAPA-PARALIMNI WASTEWATER TREATMENT PLANT No.2",CY000FAM028,CYP,0.0344675,1,29.01283818,34.98958,34.03848,
AFTELLOTOS RESERVOIR,CY000FAM029,CYP,0.0366948,12,327.0218124,34.98034,34.03878,
ACHNA RESERVOIR,CY000FAM031,CYP,0.8492579,122,143.6548309,35.04996,33.8049,0.528171
ACHERITOU RESERVOIR,CY000FAM032,CYP,1.1421728,11,9.630766903,35.13111,33.8399,0.068743
KOUKLIA RESERVOIR,CY000FAM033,CYP,1.2602136,19,15.0768092,35.12339,33.7584,0.064549
AKANTHOU RECHARGE WEIR No.1,CY000FAM041,CYP,0.0330418,9,272.3822552,35.40179,33.7598,0.384209
AKANTHOU  RECHARGE WEIR No.2,CY000FAM042,CYP,0.0075046,7,932.7612398,35.36675,33.70745,0.08103
SYGKRASI RESERVOIR,CY000FAM043,CYP,0.8893428,5,5.62212906,35.28334,33.84436,0.078915
WETLAND AT AMMOHOSTOS INDUSTRIAL AREA,CY000FAM045,CYP,0.0215118,2,92.9722292,35.14432,33.89738,0.068743
AKANTHOU  RECHARGE WEIR No.3,CY000FAM047,CYP,0.0024909,6,2408.767915,35.38165,33.72128,0.08103
AKANTHOU RESERVOIR,CY000FAM048,CYP,0.002653,13,4900.11308,35.39739,33.76965,0.384209
LIOPETRI  RECHARGE WEIR,CY000FAM054,CYP,0.0339907,5,147.0990594,34.98401,33.87747,0.087722
PANAGIA AMMOHOSTOU RECHARGE WEIR,CY000FAM061,CYP,0.0138819,6,432.2174918,35.00461,34.04848,
DERYNIA  RECHARGE WIER,CY000FAM062,CYP,0.0071215,2,280.8397107,35.06571,33.93047,0.096639
KONTEA RECHARGE WIER,CY000FAM063,CYP,0.0039892,5,1253.384137,35.07582,33.71744,0.552214
GYPSOU RECHARGE WER,CY000FAM066,CYP,0.0568812,4,70.32200446,35.28191,33.79578,0.069215
PARALIMNI IRRIGATION TANK,CY000FAM071,CYP,0.0003539,5,14128.28483,35.0187,34.01155,
GOLF POND- KORINEUM GOLF COURSE,CY000KYR002,CYP,0.0059769,6,1003.86488,35.32233,33.51312,0.116295
AGIOS AMVROSIOS RESERVOIR,CY000KYR003,CYP,0.0562598,12,213.2961724,35.31325,33.49879,0.114829
KLEPINI RESERVOIR (AGIOS EPIKTITOS),CY000KYR005,CYP,0.0897637,11,122.5439682,35.31506,33.44531,0.114829
AGIOS EPIKTITOS RIVER RECHARGE BARRIER,CY000KYR006,CYP,0.0060351,12,1988.368047,35.3238,33.43227,0.114829
AGIOS ERMOLAOS RESERVOIR,CY000KYR009,CYP,1.3597036,4,2.941817614,35.26335,33.17064,0.11805
PILERI RESERVOIR,CY000KYR010,CYP,0.0839586,4,47.64252858,35.27505,33.20283,0.11805
PANAGRA RESERVOIR (MYRTOU),CY000KYR011,CYP,0.262412,160,609.7282136,35.32654,33.07462,0.105612
KORMAKITIS RESERVOIR,CY000KYR013,CYP,0.0307784,6,194.9419073,35.32295,32.99523,0.592315
KAZAFANI RIVER RECHARGE WIER No.1,CY000KYR018,CYP,0.0013107,7,5340.657664,35.31419,33.35482,0.139699
KAZAFANI RIVER RECHARGE WIER No.2,CY000KYR019,CYP,0.001539,7,4548.408057,35.32974,33.3432,0.139699
VASILEIA RESERVOIR,CY000KYR022,CYP,0.0044556,12,2693.239968,35.34816,33.11213,
LEFKARA RESERVOIR,CY000LAR001,CYP,0.3612151,11,30.452769,34.89644,33.28936,0.135094
DIPOTAMOS RESERVOIR,CY000LAR002,CYP,0.8441512,20,23.69243804,34.85821,33.35585,0.606743
CHOIROKOITIA IRRIGATION TANK No2,CY000LAR004,CYP,0.0295385,2,67.70824517,34.80599,33.32753,0.098989
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.1,CY000LAR005,CYP,0.0019924,2,1003.814495,34.73127,33.30976,
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.2,CY000LAR006,CYP,0.004382,4,912.825194,34.72546,33.30308,
LIMESTONE QUARRY POND- VASILIKO CEMENT WORKS ,CY000LAR007,CYP,0.0223845,3,134.0213094,34.75359,33.27833,0.098989
KALAVASOS RESERVOIR,CY000LAR008,CYP,0.6098833,6,9.837947686,34.80592,33.25694,0.098989
ORA IRRIGATION TANK No.3,CY000LAR009,CYP,0.0116715,6,514.0727413,34.86999,33.19272,0.134509
AGIOI VAVATSINIAS IRRIGATION TANK,CY000LAR010,CYP,0.0078977,1,126.6191423,34.87466,33.1887,0.134509
ORA IRRIGATION TANK No.1,CY000LAR011,CYP,0.0092455,9,973.4465416,34.86833,33.18174,0.134509
ORA IRRIGATION TANK No.2,CY000LAR012,CYP,0.0034007,4,1176.228424,34.86315,33.18296,0.134509
AGIOI VAVATSINIAS RESERVOIR,CY000LAR013,CYP,0.0110393,7,634.0981765,34.87335,33.18254,0.134509
ODOU IRRIGATION TANK No.2,CY000LAR014,CYP,0.0073516,6,816.1488656,34.88039,33.16938,0.134509
ODOU IRRIGATION TANK No.1,CY000LAR015,CYP,0.0112798,8,709.2324332,34.87956,33.16713,0.134509
MELINI IRRIGATION TANK No.2,CY000LAR016,CYP,0.0123482,10,809.8346318,34.86841,33.1678,0.134509
MELINI IRRIGATION TANK No.1,CY000LAR017,CYP,0.0110761,9,812.5603778,34.86556,33.16851,0.134509
LYMPIA RESERVOIR,CY000LAR029,CYP,0.073458,10,136.1322116,34.97503,33.4186,0.144332
KITI RESERVOIR,CY000LAR033,CYP,0.249152,5,20.0680709,34.8722,33.55844,0.107927
ARADIPOU RIVER RECHARGE WIER No.1,CY000LAR034,CYP,0.0015341,4,2607.391956,34.97292,33.59767,0.377434
ARADIPOU RIVER RECHARGE BARRIER No.2,CY000LAR035,CYP,0.0034891,1,286.6068614,34.97831,33.59546,0.377434
ARADIPPOU RESERVOIR (PARTHENITIS),CY000LAR038,CYP,0.0257875,6,232.6708677,34.98341,33.59286,0.377434
ABANDONED UMBER QUARRY LAKE,CY000LAR039,CYP,0.0078625,8,1017.488076,35.01182,33.6158,0.464015
ALETHRIKO RESERVOIR,CY000LAR052,CYP,0.0188349,11,584.0222141,34.86717,33.48044,0.586762
MILOS RIVER RECHARGE WIER -DELIKIPOS,CY000LAR053,CYP,0.0023901,5,2091.962679,34.91086,33.35703,0.606743
AGIOS THEODOROS RECHARGE WIER No.1,CY000LAR055,CYP,0.0011028,14,12694.95829,34.75965,33.41109,0.568817
AGIOS THEODOROS RECHARGE WIER No.2,CY000LAR056,CYP,0.0009514,8,8408.660921,34.80752,33.38136,0.568817
KOFINOU SLAUGHTERHOUSE RECYCLED WATER TANKS,CY000LAR058,CYP,0.0204198,1,48.97207612,34.85124,33.416,0.606743
KELLIA RIVER RECHARGE BARRIER,CY000LAR059,CYP,0.012054,3,248.8800398,34.99385,33.63417,0.377434
OROKLINI ABANDONED QUARRY LAKE,CY000LAR060,CYP,0.033583,2,59.55394098,34.99372,33.64167,0.377434
ORMIDEIA RECHARGE WIER,CY000LAR061,CYP,0.0241254,1,41.45008995,35.00245,33.76923,0.528171
MARONI DIVERSION DAM,CY000LAR070,CYP,0.0184832,5,270.515928,34.81587,33.31835,0.098989
PANO PLATRES RESERVOIR,CY000LIM001,CYP,0.0342373,6,175.247464,34.91573,32.90391,0.400735
ASBESTOS ABANDONED MINE LAKE,CY000LIM002,CYP,0.034585,7,202.3998843,34.92228,32.91669,0.20997
KYPEROUNTA IRRIGATION TANK No.1,CY000LIM003,CYP,0.0342677,4,116.7279975,34.94195,32.9547,0.20997
CHANDRIA IRRIGATION TANK (STAVROS TOU KAMPOU),CY000LIM004,CYP,0.0155137,5,322.2957773,34.94247,32.98713,0.20997
KYPEROUNTA IRRIGATION TANK No2,CY000LIM005,CYP,0.0124226,4,321.9937855,34.94044,32.98339,0.20997
"RECYCLED WATER TANKS, KYPEROUNTA WASTEWATER TREATMENT PLANT",CY000LIM006,CYP,0.0109376,2,182.855471,34.9338,32.98107,0.20997
AGRIDIA RESERVOIR,CY000LIM007,CYP,0.0099262,5,503.7174347,34.93022,33.00071,0.146943
KATO MYLOS IRRIGATION TANK,CY000LIM008,CYP,0.0194547,2,102.8029217,34.90074,33.00751,0.169774
AKAPNOU IRRIGATION TANK,CY000LIM010,CYP,0.0232311,2,86.09148943,34.84756,33.17621,0.134509
EPTAGONEIA IRRIGATION TANK No.2,CY000LIM011,CYP,0.0179044,1,55.85219276,34.8488,33.16565,0.130987
EPTAGONEIA IRRIGATION TANK No.1,CY000LIM012,CYP,0.0257291,4,155.4659899,34.84894,33.15321,0.130987
ARAKAPAS IRRIGATION TANK No.3,CY000LIM013,CYP,0.0253508,1,39.4464869,34.84096,33.13003,0.130987
ARAKAPAS IRRIGATION TANK No.2,CY000LIM014,CYP,0.0284822,3,105.3289423,34.83947,33.12128,0.130987
ARAKAPAS RESERVOIR,CY000LIM015,CYP,0.016967,10,589.3793835,34.84279,33.08892,0.130987
